txn_id,customer_id,txn_timestamp,txn_amount,txn_type,device_id,location,status
TXN00001,1529,2025-11-02 19:43:36,2350.95,TRANSFER,9b639a38-049f-4b5f-96a7-aa062babba12,"East Kellyside, SZ",FAILED
TXN00002,1556,2025-05-22 07:28:49,4516.21,DEPOSIT,02deb2e6-c37a-427b-abe0-5b2213dca154,"Ericstad, EE",PENDING
TXN00003,1412,2025-03-19 17:41:21,3205.7,TRANSFER,8844bc0c-accf-4130-a487-2e7708d16094,"South Heather, ZW",COMPLETED
TXN00004,1125,2025-10-22 20:28:56,1973.4,DEPOSIT,a8f8687b-b766-4c85-a99c-37b3a4195fe4,"South Hannahmouth, BF",PENDING
TXN00005,1545,2025-08-05 23:55:03,7141.58,DEPOSIT,c461994d-609c-4e40-85bc-a4490c754a17,"East Nicholas, GY",PENDING
TXN00006,1659,2025-03-13 15:30:48,5532.58,WITHDRAWAL,fd42269c-0727-4940-abf3-6656041b1878,"West Loriland, GN",PENDING
TXN00007,1390,2025-12-15 14:14:50,1053.36,DEPOSIT,d4986a31-d5db-4bee-8c03-38d318bafcc9,"Lake Gary, NI",PENDING
TXN00008,1371,2025-07-05 17:08:23,4885.83,TRANSFER,8fe2c74f-529b-40e0-93bf-8b10d0ccc1a5,"New Jamie, SR",FAILED
TXN00009,1101,2025-05-23 20:23:55,4843.17,TRANSFER,36ba4918-3b7f-4998-9eed-02366d899035,"West Marcustown, MZ",COMPLETED
TXN00010,1505,2025-08-26 08:36:55,6032.57,TRANSFER,757256f6-3677-45b4-a3a1-bcaa03113626,"North Diane, IT",PENDING
TXN00011,1827,2025-08-24 21:09:25,3043.27,WITHDRAWAL,e2ad828b-113c-4f25-8b3f-953a5e75788f,"South Kevin, US",COMPLETED
TXN00012,1277,2025-06-30 23:55:29,3311.66,TRANSFER,8943314f-b668-405d-9a10-748cfd8fb938,"West Susan, US",PENDING
TXN00013,1960,2025-04-28 00:58:56,9700.06,TRANSFER,ad8ae364-6379-464f-b241-b95ba180f402,"West Gregory, PS",COMPLETED
TXN00014,1985,2025-11-18 07:11:24,2552.43,WITHDRAWAL,aa97435d-d9ff-44eb-ba5f-9e725166488b,"Jonestown, UZ",FAILED
TXN00015,1690,2025-11-28 13:39:48,5793.16,DEPOSIT,a3fdd59c-82d2-4bf8-a1e3-178b72ebde4e,"New Briana, AL",PENDING
TXN00016,1385,2025-03-25 13:15:59,6494.75,WITHDRAWAL,1fc22517-e593-462b-8249-f59a9dc906df,"Joelchester, TW",COMPLETED
TXN00017,1777,2025-03-29 13:05:58,6511.37,DEPOSIT,5fe0c7c3-2336-460b-8f57-1d6b1452e130,"Phillipsberg, MT",FAILED
TXN00018,1491,2025-03-15 06:03:15,2424.76,TRANSFER,b9add00a-ec64-4a9b-bcf1-c29e09b4413c,"Stevensonmouth, CR",FAILED
TXN00019,1459,2025-04-11 04:01:35,8641.53,WITHDRAWAL,0a23b722-c2af-4a28-8976-ec61a4c31af7,"Wongport, GB",PENDING
TXN00020,1048,2025-01-08 07:11:32,884.29,TRANSFER,57bd0ca8-54ce-40ea-bb9d-92c0d8d0b8db,"East Amber, TL",PENDING
TXN00021,1342,2025-12-26 09:48:54,8264.45,DEPOSIT,b8314c26-b23f-4738-aff6-28bccd2bf206,"New Monique, SK",FAILED
TXN00022,1553,2025-04-27 01:10:44,9634.36,DEPOSIT,108abb5c-018c-4313-a139-6d49713e9035,"Jonesborough, BF",FAILED
TXN00023,1177,2025-08-19 04:41:36,1254.71,DEPOSIT,2024c407-3447-434a-b032-c262243b7101,"East Brittanyborough, GW",FAILED
TXN00024,1919,2025-07-03 20:40:40,9496.21,WITHDRAWAL,4fbc0984-7792-4d9e-b998-e2d36d1e0d7d,"Lake James, NO",FAILED
TXN00025,1891,2025-03-05 01:12:50,8555.17,TRANSFER,93906193-490c-4315-8d98-02023fbc75e0,"Faulknerborough, IR",PENDING
TXN00026,1069,2025-11-10 10:29:11,2444.21,WITHDRAWAL,f8f960bd-f375-49aa-947b-ed207b2e00e6,"Raymondburgh, PW",PENDING
TXN00027,1778,2025-06-09 18:05:35,1330.61,DEPOSIT,6ef54cee-bc24-4f9f-9c01-4262815ada5d,"Port Stephanie, RO",PENDING
TXN00028,1883,2025-01-06 21:11:02,3818.72,TRANSFER,154ebf91-daa2-42b4-ad69-e88c61a4b230,"Brookeberg, TG",COMPLETED
TXN00029,1507,2025-09-21 21:04:38,3331.33,DEPOSIT,4e4c01f6-76b1-48fa-a165-2fd341dddedf,"Campbellside, UZ",COMPLETED
TXN00030,1143,2025-06-24 03:50:06,1861.78,DEPOSIT,782152e0-b701-4925-a2fb-e906554ed52c,"East Sabrina, AF",COMPLETED
TXN00031,1359,2025-01-04 08:04:01,8111.48,DEPOSIT,5fcf5c22-b9b0-4c1a-baf9-706d802ddcc4,"Sullivanchester, MY",PENDING
TXN00032,1296,2025-12-19 21:09:15,7638.14,DEPOSIT,4eccb0ab-7d53-48ca-a250-46c05f866c8e,"South Nicoleville, MV",FAILED
TXN00033,1786,2025-12-05 21:05:37,7200.23,WITHDRAWAL,6fb138c2-c350-4f4f-b1b8-f079299094c0,"Kelseystad, SE",PENDING
TXN00034,1445,2025-09-15 11:36:15,2941.69,TRANSFER,b24ae6e3-5e41-4475-b040-d75aa28e0841,"Lake Paulchester, LK",FAILED
TXN00035,1737,2025-03-30 17:32:06,2303.05,WITHDRAWAL,d0290d6b-ebe5-4cc4-88d5-7cf77a4c38ef,"Crystaltown, MC",COMPLETED
TXN00036,1045,2025-08-30 14:57:26,3303.05,TRANSFER,7499bb6b-9afd-4464-82e6-918c25dbbe8d,"West John, TT",PENDING
TXN00037,1304,2025-12-13 01:12:58,4677.0,DEPOSIT,1de20f2d-0328-4b00-a953-4ea7d76d9612,"Lake Jenniferfurt, MY",COMPLETED
TXN00038,1027,2025-09-14 08:48:36,3368.87,DEPOSIT,84bed7ed-1491-451d-a6a7-a6b0f9619ae2,"South Gabriel, NP",COMPLETED
TXN00039,1603,2025-04-01 22:47:27,5862.73,WITHDRAWAL,887fe19c-f7ba-49f9-802a-63cc4d5e42e8,"Willischester, GB",FAILED
TXN00040,1535,2025-11-15 12:54:25,8520.79,TRANSFER,1bf962a5-16c0-48e8-9e92-2cf1ba47680f,"Lisaview, AE",PENDING
TXN00041,1518,2025-03-17 03:04:57,8099.68,WITHDRAWAL,4edfaa12-b2f2-40e3-a5e1-605bbf8ff33e,"East Lisatown, BY",PENDING
TXN00042,1405,2025-01-25 03:27:01,6837.1,DEPOSIT,6ab62dbf-8663-48bb-aaf7-895bb241cfd3,"Jessicaburgh, EE",FAILED
TXN00043,1899,2025-05-16 09:35:06,6204.32,WITHDRAWAL,7c89617d-32b1-492b-a263-960ab43c6fef,"New Stacy, PG",COMPLETED
TXN00044,1147,2025-07-25 15:21:57,4033.76,TRANSFER,0f1972db-3370-4c1d-af85-f99d366b3575,"Port Katherine, IL",FAILED
TXN00045,1494,2025-12-24 10:15:20,3210.25,DEPOSIT,a0786a1f-70d3-45f7-a8a6-9e71df223246,"Port Danaland, KE",FAILED
TXN00046,1424,2025-01-30 22:25:57,7668.68,DEPOSIT,579744ba-1073-40cb-86d9-e34d1feb21c7,"New Jimmyfort, GQ",FAILED
TXN00047,1981,2025-10-04 05:54:47,7201.29,DEPOSIT,c075e119-441d-4e33-8fa1-659f026f05f6,"Lake Branditon, BY",PENDING
TXN00048,1669,2025-03-17 16:35:51,2659.57,TRANSFER,9a5d376e-602b-4256-81db-eb73cab285dc,"Sarahfort, TW",FAILED
TXN00049,1396,2025-05-02 16:01:17,1464.34,TRANSFER,ae8e6075-5eeb-4618-9628-27686df0ac3c,"Yvonnebury, ML",FAILED
